City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
479,479,AR,85.28,clear sky,-43.249,-65.3051,Hotel Touring Club
481,481,AR,81.88,clear sky,-29.15,-59.65,Grand Hotel
490,490,CO,82.36,overcast clouds,0.9703,-76.5858,Hotel Campo Verde
491,491,GA,81.21,light rain,0.5738,12.8642,Hôtel
495,495,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
499,499,IN,79.9,clear sky,16.9833,73.3,Hotel Landmark
502,502,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
505,505,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
506,506,AU,83.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
507,507,BR,86.4,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
509,509,BD,75.22,clear sky,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
515,515,OM,81.19,clear sky,22.5667,59.5289,Sur Plaza Hotel
516,516,ID,80.15,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
520,520,EC,83.98,few clouds,-0.95,-80.7333,Balandra Hotel
524,524,AU,87.85,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
525,525,BR,85.87,clear sky,-15.6467,-56.1325,Hotel Express
526,526,PK,82.36,clear sky,31.9132,74.5176,مسجد عمر فاروق
537,537,ID,79.39,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
540,540,MG,78.91,light rain,-14.2667,50.1667,Melrose
542,542,BR,81.46,overcast clouds,-2.8856,-40.12,castelo pizzaria
544,544,HN,79.99,few clouds,16.45,-85.85,Villa on Dunbar Rock
546,546,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
550,550,IN,84.6,overcast clouds,28.1,76.2833,Andaaz Hotel ( OYO 87549)
552,552,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
558,558,BR,84.42,clear sky,-23.7869,-54.2836,Villa Verde Hotel
562,562,PG,76.69,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
569,569,CD,87.87,broken clouds,0.5167,25.2,Grand Ramela Hotel
571,571,BR,87.93,scattered clouds,-19.3911,-40.0722,Hotel Conceição
580,580,EC,81.27,light rain,0.6,-80.0333,Quinta Samay
583,583,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
585,585,TZ,78.94,light rain,-4.9333,38.9333,B Farm
586,586,SO,88.21,clear sky,4.1213,43.8894,Banjanay Hotel
591,591,ZA,84.58,few clouds,-28.4478,21.2561,River Place Manor
595,595,UG,76.87,broken clouds,0.9161,31.7742,Marie Lustenberger Guest House
600,600,MU,80.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
601,601,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
603,603,LK,78.26,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
606,606,BR,79.99,light rain,-3.0189,-41.1361,Pousada barroquinha
611,611,TH,78.67,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
619,619,MX,78.19,overcast clouds,27.0167,-108.9333,Luz del Sol
620,620,BW,81.43,scattered clouds,-21.5667,21.7833,Ghanzi Farmhouse
624,624,VN,78.67,overcast clouds,10.346,107.0843,Seaside Resort
626,626,AF,80.56,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
629,629,PH,80.65,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
631,631,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
632,632,IN,87.24,broken clouds,16.7,78.9333,Vishnu Priya Ac Lodge
635,635,DO,84.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
637,637,ID,75.24,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
640,640,BR,83.46,light rain,-8.8978,-35.1478,Crôa Mares Hotel
645,645,CN,76.06,overcast clouds,22.5455,114.0683,Grand Skylight
646,646,MV,83.44,overcast clouds,5.6667,73.0,Ungoofaaru Inn
648,648,AO,84.24,scattered clouds,-17.0667,15.7333,COMBUESA
649,649,BR,86.05,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
657,657,NE,81.27,clear sky,18.6853,12.9164,Expeditions Ténére voyages
662,662,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
663,663,IN,75.88,clear sky,24.2167,84.8667,GOPI BHOJNALAY
670,670,AU,89.85,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
673,673,ID,75.92,scattered clouds,-4.9408,122.5276,La Ode Husein
678,678,ID,76.12,few clouds,-3.945,122.4989,Hotel Wixel
681,681,MX,80.6,scattered clouds,20.05,-90.2333,Hotel Mangrove King Fishing
682,682,GF,79.84,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
683,683,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
685,685,TZ,75.9,moderate rain,-6.3667,37.3667,Juma lubelwa
